Molecular Weight,Density,Substance Name
18.015,0.998,Water
44.01,1.977,Carbon Dioxide
28.013,1.250,Nitrogen
32.00,1.429,Oxygen
4.0026,0.1785,Helium
46.07,0.789,Ethanol
78.11,0.876,Benzene
16.04,0.656,Methane
86.18,0.654,Hexane
92.14,0.867,Toluene
58.08,0.791,Acetone
60.10,0.803,Propanol
94.11,1.071,Phenol
72.15,0.626,Pentane
17.03,0.682,Ammonia
34.08,1.392,Hydrogen Sulfide
70.91,1.556,Chlorine
64.06,1.421,Sulfur Dioxide
30.03,1.067,Formaldehyde
39.95,1.784,Argon
2.016,0.000178,Hydrogen
20.18,0.000899,Neon
38.00,1.696,Fluorine
83.80,1.589,Krypton
131.29,3.496,Xenon
222.02,0.00973,Radon
76.12,0.779,Silane
28.05,1.166,Ethylene
26.04,1.098,Acetylene
32.04,0.000818,Methanol
60.10,0.878,Isopropanol
74.12,0.81,Butanol
118.94,1.325,Chloroform
28.01,1.250,Carbon Monoxide
30.07,1.235,Ethane
44.10,0.564,Propane
58.12,0.803,Butane
82.15,0.786,Pentanol
102.17,1.325,Hexanol
100.20,0.814,Heptane
114.23,0.703,Octane
128.23,0.755,Nonane
142.29,0.774,Decane
84.16,0.779,Cyclohexane
70.10,0.800,Cyclopentane
56.09,0.850,Cyclobutane
42.08,1.023,Cyclopropane
32.06,0.851,Hydrazine
72.11,1.066,Tetrahydrofuran
74.12,0.712,Diethyl Ether
88.11,0.897,Ethyl Acetate
60.05,1.049,Acetic Acid
46.03,1.221,Formic Acid
192.13,1.661,Citric Acid
90.08,1.200,Lactic Acid
122.12,1.325,Benzoic Acid
80.52,1.410,Acetyl Chloride
59.11,0.773,Ethylamine
73.14,0.744,Diethylamine
101.19,0.695,Triethylamine
93.13,1.030,Aniline
92.14,0.867,Toluene
104.15,0.906,Styrene
62.50,0.858,Vinyl Chloride
58.94,3.120,Bromine
